----------------------------------------------------------------------
Process Automation Log
----------------------------------------------------------------------
CONTENT OF LOG FILE
CONTENT OF LOG FILEThu Jun  6 10:13:06 2024
{'name': 'System Idle Process', 'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM'}
{'name': 'System', 'pid': 4, 'username': 'NT AUTHORITY\\SYSTEM'}
{'name': '', 'pid': 156, 'username': None}
{'name': 'Registry', 'pid': 192, 'username': None}
{'name': 'msedge.exe', 'pid': 384, 'username': 'DESKTOP-4F19P2F\\Rushikesh'}
{'name': 'smss.exe', 'pid': 652, 'username': None}
{'name': 'wininit.exe', 'pid': 716, 'username': None}
{'name': 'winlogon.exe', 'pid': 776, 'username': None}
{'name': 'csrss.exe', 'pid': 968, 'username': None}
{'name': 'services.exe', 'pid': 1056, 'username': None}
{'name': 'LsaIso.exe', 'pid': 1076, 'username': None}
{'name': 'lsass.exe', 'pid': 1092, 'username': None}
{'name': 'svchost.exe', 'pid': 1104, 'username': None}
{'name': 'ApplicationFrameHost.exe', 'pid': 1152, 'username': 'DESKTOP-4F19P2F\\Rushikesh'}
{'name': 'svchost.exe', 'pid': 1292, 'username': None}
{'name': 'fontdrvhost.exe', 'pid': 1344, 'username': None}
{'name': 'WUDFHost.exe', 'pid': 1352, 'username': None}
{'name': 'svchost.exe', 'pid': 1456, 'username': None}
{'name': 'svchost.exe', 'pid': 1476, 'username': None}
{'name': 'svchost.exe', 'pid': 1508, 'username': None}
{'name': 'svchost.exe', 'pid': 1716, 'username': None}
{'name': 'svchost.exe', 'pid': 1724, 'username': None}
{'name': 'svchost.exe', 'pid': 1752, 'username': None}
{'name': 'svchost.exe', 'pid': 1764, 'username': None}
{'name': 'svchost.exe', 'pid': 1780, 'username': None}
{'name': 'svchost.exe', 'pid': 1820, 'username': None}
{'name': 'msedge.exe', 'pid': 1828, 'username': 'DESKTOP-4F19P2F\\Rushikesh'}
{'name': 'RtkAudUService64.exe', 'pid': 1836, 'username': None}
{'name': 'ETDCtrl.exe', 'pid': 1856, 'username': 'DESKTOP-4F19P2F\\Rushikesh'}
{'name': 'svchost.exe', 'pid': 1944, 'username': None}
{'name': 'svchost.exe', 'pid': 1988, 'username': None}
{'name': 'svchost.exe', 'pid': 1996, 'username': None}
{'name': 'svchost.exe', 'pid': 2108, 'username': None}
{'name': 'svchost.exe', 'pid': 2156, 'username': None}
{'name': 'svchost.exe', 'pid': 2164, 'username': None}
{'name': 'WUDFHost.exe', 'pid': 2192, 'username': None}
{'name': 'svchost.exe', 'pid': 2256, 'username': None}
{'name': 'svchost.exe', 'pid': 2268, 'username': None}
{'name': 'svchost.exe', 'pid': 2276, 'username': None}
{'name': 'OffloadItemService.exe', 'pid': 2356, 'username': None}
{'name': 'svchost.exe', 'pid': 2380, 'username': None}
{'name': 'Code.exe', 'pid': 2388, 'username': 'DESKTOP-4F19P2F\\Rushikesh'}
{'name': 'svchost.exe', 'pid': 2400, 'username': None}
{'name': 'svchost.exe', 'pid': 2472, 'username': None}
{'name': 'svchost.exe', 'pid': 2536, 'username': None}
{'name': 'uihost.exe', 'pid': 2572, 'username': 'DESKTOP-4F19P2F\\Rushikesh'}
{'name': 'mc-extn-browserhost.exe', 'pid': 2588, 'username': 'DESKTOP-4F19P2F\\Rushikesh'}
{'name': 'svchost.exe', 'pid': 2680, 'username': None}
{'name': 'svchost.exe', 'pid': 2784, 'username': None}
{'name': 'svchost.exe', 'pid': 2856, 'username': None}
{'name': 'svchost.exe', 'pid': 2896, 'username': None}
{'name': 'Code.exe', 'pid': 2936, 'username': 'DESKTOP-4F19P2F\\Rushikesh'}
{'name': 'svchost.exe', 'pid': 2948, 'username': None}
{'name': 'chrome.exe', 'pid': 2956, 'username': 'DESKTOP-4F19P2F\\Rushikesh'}
{'name': 'Widgets.exe', 'pid': 3108, 'username': 'DESKTOP-4F19P2F\\Rushikesh'}
{'name': 'svchost.exe', 'pid': 3144, 'username': None}
{'name': 'DesktopExtension.exe', 'pid': 3244, 'username': 'DESKTOP-4F19P2F\\Rushikesh'}
{'name': 'UserOOBEBroker.exe', 'pid': 3292, 'username': 'DESKTOP-4F19P2F\\Rushikesh'}
{'name': 'OmenCommandCenterBackground.exe', 'pid': 3472, 'username': 'DESKTOP-4F19P2F\\Rushikesh'}
{'name': 'svchost.exe', 'pid': 3492, 'username': None}
{'name': 'svchost.exe', 'pid': 3516, 'username': None}
{'name': 'svchost.exe', 'pid': 3532, 'username': 'DESKTOP-4F19P2F\\Rushikesh'}
{'name': 'WUDFHost.exe', 'pid': 3556, 'username': None}
{'name': 'svchost.exe', 'pid': 3604, 'username': None}
{'name': 'svchost.exe', 'pid': 3652, 'username': None}
{'name': 'svchost.exe', 'pid': 3660, 'username': None}
{'name': 'svchost.exe', 'pid': 3668, 'username': None}
{'name': 'svchost.exe', 'pid': 3740, 'username': None}
{'name': 'MemCompression', 'pid': 3788, 'username': None}
{'name': 'svchost.exe', 'pid': 3836, 'username': None}
{'name': 'svchost.exe', 'pid': 3844, 'username': None}
{'name': 'svchost.exe', 'pid': 3936, 'username': None}
{'name': 'svchost.exe', 'pid': 3940, 'username': None}
{'name': 'NetworkCap.exe', 'pid': 3980, 'username': None}
{'name': 'DiagsCap.exe', 'pid': 3984, 'username': None}
{'name': 'SysInfoCap.exe', 'pid': 3996, 'username': None}
{'name': 'AppHelperCap.exe', 'pid': 4008, 'username': None}
{'name': 'TouchpointAnalyticsClientService.exe', 'pid': 4020, 'username': None}
{'name': 'RuntimeBroker.exe', 'pid': 4076, 'username': 'DESKTOP-4F19P2F\\Rushikesh'}
{'name': 'svchost.exe', 'pid': 4104, 'username': None}
{'name': 'svchost.exe', 'pid': 4188, 'username': None}
{'name': 'WUDFHost.exe', 'pid': 4260, 'username': None}
{'name': 'svchost.exe', 'pid': 4416, 'username': None}
{'name': 'browserhost.exe', 'pid': 4500, 'username': 'DESKTOP-4F19P2F\\Rushikesh'}
{'name': 'svchost.exe', 'pid': 4548, 'username': None}
{'name': 'msedge.exe', 'pid': 4592, 'username': 'DESKTOP-4F19P2F\\Rushikesh'}
{'name': 'svchost.exe', 'pid': 4660, 'username': None}
{'name': 'unsecapp.exe', 'pid': 4760, 'username': None}
{'name': 'python.exe', 'pid': 4816, 'username': 'DESKTOP-4F19P2F\\Rushikesh'}
{'name': 'chrome.exe', 'pid': 4824, 'username': 'DESKTOP-4F19P2F\\Rushikesh'}
{'name': 'chrome.exe', 'pid': 4944, 'username': 'DESKTOP-4F19P2F\\Rushikesh'}
{'name': 'WmiPrvSE.exe', 'pid': 4972, 'username': None}
{'name': 'OpenConsole.exe', 'pid': 5152, 'username': 'DESKTOP-4F19P2F\\Rushikesh'}
{'name': 'OmenInstallMonitor.exe', 'pid': 5384, 'username': 'DESKTOP-4F19P2F\\Rushikesh'}
{'name': 'msedge.exe', 'pid': 5392, 'username': 'DESKTOP-4F19P2F\\Rushikesh'}
{'name': 'svchost.exe', 'pid': 5480, 'username': None}
{'name': 'CodeSetup-stable-89de5a8d4d6205e5b11647eb6a74844ca23d2573.tmp', 'pid': 5536, 'username': 'DESKTOP-4F19P2F\\Rushikesh'}
{'name': 'svchost.exe', 'pid': 5692, 'username': None}
{'name': 'svchost.exe', 'pid': 5716, 'username': None}
{'name': 'Microsoft.SharePoint.exe', 'pid': 5796, 'username': 'DESKTOP-4F19P2F\\Rushikesh'}
{'name': 'svchost.exe', 'pid': 5840, 'username': None}
{'name': 'OverlayHelper.exe', 'pid': 5920, 'username': 'DESKTOP-4F19P2F\\Rushikesh'}
{'name': 'svchost.exe', 'pid': 5928, 'username': None}
{'name': 'chrome.exe', 'pid': 6068, 'username': 'DESKTOP-4F19P2F\\Rushikesh'}
{'name': 'SearchHost.exe', 'pid': 6120, 'username': 'DESKTOP-4F19P2F\\Rushikesh'}
{'name': 'spoolsv.exe', 'pid': 6236, 'username': None}
{'name': 'wlanext.exe', 'pid': 6244, 'username': None}
{'name': 'conhost.exe', 'pid': 6324, 'username': None}
{'name': 'WMIRegistrationService.exe', 'pid': 6344, 'username': None}
{'name': 'svchost.exe', 'pid': 6408, 'username': None}
{'name': 'svchost.exe', 'pid': 6516, 'username': None}
{'name': 'SecurityHealthSystray.exe', 'pid': 6560, 'username': 'DESKTOP-4F19P2F\\Rushikesh'}
{'name': 'svchost.exe', 'pid': 6576, 'username': None}
{'name': 'IDBWM.exe', 'pid': 6588, 'username': None}
{'name': 'ETDService.exe', 'pid': 6592, 'username': None}
{'name': 'HPCommRecovery.exe', 'pid': 6608, 'username': None}
{'name': 'DtsApo4Service.exe', 'pid': 6616, 'username': None}
{'name': 'svchost.exe', 'pid': 6628, 'username': None}
{'name': 'ipfsvc.exe', 'pid': 6636, 'username': None}
{'name': 'OneApp.IGCC.WinService.exe', 'pid': 6644, 'username': None}
{'name': 'IntelAnalyticsService.exe', 'pid': 6664, 'username': None}
{'name': 'OfficeClickToRun.exe', 'pid': 6720, 'username': None}
{'name': 'svchost.exe', 'pid': 6768, 'username': None}
{'name': 'FileCoAuth.exe', 'pid': 6804, 'username': 'DESKTOP-4F19P2F\\Rushikesh'}
{'name': 'IntelAudioService.exe', 'pid': 6808, 'username': None}
{'name': 'ipf_uf.exe', 'pid': 6816, 'username': None}
{'name': 'svchost.exe', 'pid': 6824, 'username': None}
{'name': 'mc-fw-host.exe', 'pid': 6880, 'username': None}
{'name': 'servicehost.exe', 'pid': 6956, 'username': None}
{'name': 'svchost.exe', 'pid': 7040, 'username': None}
{'name': 'svchost.exe', 'pid': 7048, 'username': None}
{'name': 'svchost.exe', 'pid': 7060, 'username': None}
{'name': 'RtkAudUService64.exe', 'pid': 7120, 'username': None}
{'name': 'RuntimeBroker.exe', 'pid': 7132, 'username': 'DESKTOP-4F19P2F\\Rushikesh'}
{'name': 'svchost.exe', 'pid': 7148, 'username': None}
{'name': 'IntelConnectivityNetworkService.exe', 'pid': 7224, 'username': None}
{'name': 'chrome.exe', 'pid': 7344, 'username': 'DESKTOP-4F19P2F\\Rushikesh'}
{'name': 'cmd.exe', 'pid': 7768, 'username': 'DESKTOP-4F19P2F\\Rushikesh'}
{'name': 'svchost.exe', 'pid': 8000, 'username': None}
{'name': 'svchost.exe', 'pid': 8092, 'username': 'DESKTOP-4F19P2F\\Rushikesh'}
{'name': 'dllhost.exe', 'pid': 8208, 'username': 'DESKTOP-4F19P2F\\Rushikesh'}
{'name': 'svchost.exe', 'pid': 8268, 'username': None}
{'name': 'svchost.exe', 'pid': 8316, 'username': None}
{'name': 'chrome.exe', 'pid': 8508, 'username': 'DESKTOP-4F19P2F\\Rushikesh'}
{'name': 'RuntimeBroker.exe', 'pid': 8844, 'username': 'DESKTOP-4F19P2F\\Rushikesh'}
{'name': 'ShellExperienceHost.exe', 'pid': 9088, 'username': 'DESKTOP-4F19P2F\\Rushikesh'}
{'name': 'svchost.exe', 'pid': 9168, 'username': None}
{'name': 'conhost.exe', 'pid': 9380, 'username': None}
{'name': 'svchost.exe', 'pid': 9504, 'username': None}
{'name': 'IntelConnectService.exe', 'pid': 9540, 'username': None}
{'name': 'cmd.exe', 'pid': 9552, 'username': 'DESKTOP-4F19P2F\\Rushikesh'}
{'name': 'AggregatorHost.exe', 'pid': 9600, 'username': None}
{'name': 'svchost.exe', 'pid': 10172, 'username': None}
{'name': 'IDBWMService.exe', 'pid': 10180, 'username': None}
{'name': 'svchost.exe', 'pid': 10252, 'username': 'DESKTOP-4F19P2F\\Rushikesh'}
{'name': 'HP.myHP.exe', 'pid': 10296, 'username': 'DESKTOP-4F19P2F\\Rushikesh'}
{'name': 'SearchProtocolHost.exe', 'pid': 10368, 'username': None}
{'name': 'conhost.exe', 'pid': 10492, 'username': None}
{'name': 'svchost.exe', 'pid': 10500, 'username': 'DESKTOP-4F19P2F\\Rushikesh'}
{'name': 'IntelConnect.exe', 'pid': 10552, 'username': None}
{'name': 'dwm.exe', 'pid': 10680, 'username': None}
{'name': 'svchost.exe', 'pid': 10784, 'username': None}
{'name': 'TabTip.exe', 'pid': 10868, 'username': 'DESKTOP-4F19P2F\\Rushikesh'}
{'name': 'ctfmon.exe', 'pid': 10944, 'username': 'DESKTOP-4F19P2F\\Rushikesh'}
{'name': 'svchost.exe', 'pid': 11192, 'username': 'DESKTOP-4F19P2F\\Rushikesh'}
{'name': 'SearchIndexer.exe', 'pid': 11220, 'username': None}
{'name': 'svchost.exe', 'pid': 11276, 'username': None}
{'name': 'SystemSettingsBroker.exe', 'pid': 11296, 'username': 'DESKTOP-4F19P2F\\Rushikesh'}
{'name': 'svchost.exe', 'pid': 11564, 'username': None}
{'name': 'ONENOTEM.EXE', 'pid': 12132, 'username': 'DESKTOP-4F19P2F\\Rushikesh'}
